,SessionID,UsrID,Cell,School,Channel,PackageConsulted,Focus,ConsultedPKG_Price,Discount_x,Date_Consulted,City,ProductSold,Sold,Discount_y,PriceSold,Consent
25,EA032877D03D,7.41922E+11,Yes,UTDT,Warm Market(Speical),Project Practise Only,DAT,120,0,2019-02-02,Toronto,Project Practise Only,Yes,1,120,1
26,798B4C22A526,7.25537E+11,Yes,UW,Warm Market(Speical),Project Practise Only,FIN,120,0,2019-03-20,Waterloo,,No,,,
27,AB48949AE94C,5.80255E+11,No,MU,Scan Code,Documents and Projects Only,DAT,300,0,2019-03-01,,,No,,,
28,E2F79074BEF0,1.39232E+11,Yes,UTSCAR,Social Media,Project Practise Only,FIN,120,0,2019-01-16,Toronto,,No,,,
29,10B8E40D3CAF,7.39972E+11,No,UTDT,Social Media,Documents and Projects Only,DAT,300,0,2019-02-19,Toronto,,No,,,
30,DDD57FF34E30,2.24393E+11,No,UW,Social Media,Project Practise Only,FIN,120,0,2019-01-01,Waterloo,,No,,,
31,21AE8F9BE156,4.1154E+11,No,YU,Social Media,Documents and Projects Only,BOTH,300,0,2019-02-15,North York,,No,,,
32,F56CC53B3A62,1.21544E+11,No,UTDT,Social Media,Project Practise Only,DAT,120,0,2019-01-09,Toronto,,No,,,
33,0A342876C8FA,8.72072E+11,No,UTSCAR,Scan Code,Full Package,FIN,350,0,2019-03-03,Toronto,,No,,,
34,5890407D888D,2.10519E+11,No,UTMISS,Social Media,Project Practise Only,BOTH,120,0,2019-02-23,,,No,,,
35,5AED8C32A26B,9.80905E+11,Yes,UTMISS,Social Media,Documents and Projects Only,FIN,300,0,2019-02-01,North York,,No,,,
36,7A7516CB0925,3.1132E+11,No,UTSCAR,Scan Code,Full Package,DAT,350,0,2019-02-04,Toronto,,No,,,
37,BB28366E00A2,6.02824E+11,Yes,UW,Web/Articles,Project Practise Only,DAT,120,0,2019-03-30,Waterloo,,No,,,
38,C17C5B40CEAB,5.48713E+11,No,UTDT,Scan Code,Full Package,BOTH,350,0,2019-01-04,Toronto,,No,,,
39,F3A4BB7E5C62,2.24777E+11,No,UTSCAR,Social Media,Introductory Lectures Only,DAT,120,0,2019-02-10,Scarborough,,No,,,
40,A599AE574637,7.52804E+11,No,UTMISS,Scan Code,Introductory Lectures Only,BOTH,120,0,2019-01-19,,,No,,,
41,70A849E1E4F6,7.95381E+11,Yes,UTSCAR,Scan Code,Full Package,FIN,350,0,2019-01-09,Toronto,,No,,,
42,FBD36A1D9B79,3.78119E+11,Yes,UW,Scan Code,Introductory Lectures Only,FIN,120,1,2019-03-15,Waterloo,Introductory Lectures Only,Yes,0.9,108,1
43,A0BCBCC64AB0,57234464607,No,UTDT,Social Media,Project Practise Only,BOTH,120,0,2019-01-07,Toronto,Introductory Lectures Only,Yes,1,120,1
44,7AC3E4E83583,9.84392E+11,No,UW,Friends Referral,Project Practise Only,FIN,120,0,2019-03-01,Toronto,,No,,,
45,04466DB09910,1.92541E+11,Yes,UW,Social Media,Project Practise Only,FIN,120,0,2019-03-29,Waterloo,,No,,,
46,4ED52B46787D,6.53247E+11,No,UTSCAR,Scan Code,Full Package,DAT,350,0,2019-01-25,Scarborough,,No,,,
47,2DE657B99BC0,41147502345,Yes,UW,Social Media,Project Practise Only,FIN,120,0,2019-03-10,Toronto,,No,,,
48,C88020512C59,1.69101E+11,No,UTDT,Social Media,Project Practise Only,BOTH,120,0,2019-03-09,Toronto,,No,,,
49,AF809399DF5E,7251093969,No,YU,Scan Code,Documents and Projects Only,FIN,300,0,2019-03-27,North York,,No,,,
50,62D02D902FF1,2.01485E+11,Yes,UW,Social Media,Project Practise Only,FIN,120,0,2019-01-09,Waterloo,,No,,,
51,93F74BDE54F3,85568863856,No,UTDT,Scan Code,Full Package,BOTH,350,0,2019-01-18,Toronto,,No,,,
52,159C6B3B1F8D,4.23392E+11,No,YU,Social Media,Introductory Lectures Only,FIN,120,0,2019-02-22,North York,,No,,,
53,228294E83F6A,9.20957E+11,No,UW,Scan Code,Documents and Projects Only,FIN,300,0,2019-02-09,Waterloo,,No,,,
54,ED6A0048E028,7.04628E+11,Yes,UTDT,Scan Code,Full Package,FIN,350,0,2019-07-02,Toronto,,No,,,
55,4FEEE2B872AF,4.13685E+11,No,UTDT,Web/Articles,Introductory Lectures Only,DAT,120,0,2019-02-25,Toronto,Introductory Lectures Only,Yes,1,120,1
56,E7798D6E4353,7.7394E+11,Yes,UTDT,Marketing Sessions,Documents and Projects Only,FIN,300,0,2019-02-12,Toronto,,No,,,
57,0D2CE222672B,2.75243E+11,Yes,UTMISS,Friends Referral,Introductory Lectures Only,DAT,120,1,2019-03-29,North York,,No,,,
58,46F5FEF3935B,4.97385E+11,Yes,UTDT,Friends Referral,Introductory Lectures Only,FIN,120,0,2019-01-11,Toronto,,No,,,
59,8F37B01662E0,5.2842E+11,No,UW,Social Media,Full Package,FIN,350,0,2019-02-26,Waterloo,,No,,,
60,BD044698E871,9.54512E+11,Yes,UTMISS,Social Media,Introductory Lectures Only,FIN,120,0,2019-02-04,Toronto,,No,,,
61,30E486C0A7EF,3.29565E+11,No,UW,Scan Code,Introductory Lectures Only,BOTH,120,0,2019-02-18,Waterloo,,No,,,
62,32A099B31843,3.90769E+11,No,UW,Scan Code,Introductory Lectures Only,FIN,120,0,2019-01-27,Waterloo,,No,,,
63,2AB71F424F03,5.87157E+11,Yes,UTDT,Scan Code,Introductory Lectures Only,BOTH,120,0,2019-02-14,Toronto,,No,,,
64,B74ABB0E3C57,64997120106,No,UTMISS,Scan Code,Full Package,FIN,350,0,2019-07-01,Mississauga,,No,,,
65,4AEE908D911F,5.92237E+11,No,UTDT,Social Media,Introductory Lectures Only,BOTH,120,0,2019-04-01,Toronto,,No,,,
66,54AD99B192C2,78517864621,No,UW,Social Media,Introductory Lectures Only,FIN,120,0,2019-03-18,Waterloo,,No,,,
67,538E4823EF49,4.71106E+11,No,UW,Scan Code,Project Practise Only,DAT,120,0,2019-01-21,Waterloo,,No,,,
68,EB5E3685511B,7.47248E+11,Yes,UTDT,Friends Referral,Introductory Lectures Only,FIN,120,0,2019-02-02,,,No,,,
69,E17D3A506BFA,7.04714E+11,Yes,UW,Scan Code,Introductory Lectures Only,FIN,120,0,2019-06-01,Waterloo,,No,,,
70,A9E8A067A93D,9.99734E+11,No,UTDT,Marketing Sessions,Project Practise Only,BOTH,120,0,2019-02-03,Toronto,,No,,,
71,D60555D31844,6.57634E+11,No,UTMISS,Warm Market(Speical),Full Package,FIN,350,0,2019-02-17,Mississauga,,No,,,
72,299EC76164A3,8.37037E+11,Yes,UW,Social Media,Introductory Lectures Only,FIN,120,0,2019-02-26,Waterloo,,No,,,
73,97E167E0C900,7.46644E+11,No,UTDT,Social Media,Introductory Lectures Only,BOTH,120,0,2019-06-03,Toronto,,No,,,
74,DD4A0A79B279,8.69972E+11,No,UTSCAR,Scan Code,Introductory Lectures Only,FIN,120,0,2019-04-03,Toronto,,No,,,
75,6D93FF9EA217,43138391722,No,UTDT,Social Media,Introductory Lectures Only,DAT,120,1,2019-02-16,Toronto,,No,,,
76,F878B2A597DB,7.51747E+11,No,YU,Scan Code,Project Practise Only,DAT,120,0,2019-03-02,North York,,No,,,
77,B584B6B1F263,2.9521E+11,No,MU,Scan Code,Introductory Lectures Only,DAT,120,0,2019-03-23,Toronto,,No,,,
78,41853AF9ECD1,2.70837E+11,No,MU,Marketing Sessions,Documents and Projects Only,BOTH,300,0,2019-08-03,Toronto,,No,,,
79,DFC830B2915E,6.89118E+11,No,UTMISS,Social Media,Introductory Lectures Only,FIN,120,0,2019-01-30,Mississauga,Introductory Lectures Only,Yes,1,120,1
80,57410860FF79,90541603215,Yes,UW,Friends Referral,Introductory Lectures Only,FIN,120,0,2019-01-21,Toronto,Introductory Lectures Only,Yes,1,120,1
81,4457615E17E3,6.59984E+11,No,UTDT,Scan Code,Documents and Projects Only,FIN,300,0,2019-03-17,Toronto,,No,,,
82,F0CB7E3FC72E,1.6986E+11,No,UW,Web/Articles,Project Practise Only,BOTH,120,0,2019-03-02,Toronto,,No,,,
83,28153451A121,7.80335E+11,No,UTSCAR,Scan Code,Introductory Lectures Only,FIN,120,0,2019-02-27,Scarborough,,No,,,
84,CF9B7CA8F37A,5.17672E+11,Yes,MU,Scan Code,Project Practise Only,FIN,120,0,2019-03-13,,,No,,,
85,6C7DE09E346A,2.62258E+11,Yes,UTSCAR,Scan Code,Introductory Lectures Only,FIN,120,0,2019-01-25,Toronto,Introductory Lectures Only,Yes,1,120,1
86,C687F09CD72E,3.7908E+11,No,UTMISS,Social Media,Full Package,FIN,350,0,2019-03-30,North York,,No,,,
87,AED840B027FC,7.49135E+11,No,UTDT,Web/Articles,Introductory Lectures Only,FIN,120,0,2019-01-17,Toronto,,No,,,
88,CA31B2A80DA6,7.56014E+11,No,MU,Scan Code,Project Practise Only,FIN,120,0,2019-03-28,Hamilton,,No,,,
89,59ACDA7A9C4F,6.02202E+11,No,UW,Social Media,Documents and Projects Only,BOTH,300,0,2019-01-14,Waterloo,,No,,,
90,F3EA47B1A8AA,5.9895E+11,No,UTDT,Web/Articles,Project Practise Only,BOTH,120,0,2019-03-30,Toronto,,No,,,
91,9109E14579CD,2.40356E+11,Yes,UTMISS,Warm Market(Speical),Full Package,BOTH,350,0,2019-01-09,North York,,No,,,
92,CDF80FB23256,6.93222E+11,No,UW,Scan Code,Introductory Lectures Only,FIN,120,0,2019-01-17,Waterloo,Introductory Lectures Only,Yes,1,120,1
93,726D9D55FF23,5.26502E+11,No,MU,Social Media,Introductory Lectures Only,FIN,120,0,2019-02-03,Hamilton,,No,,,
94,396871EF0CE0,8.95595E+11,No,UTDT,Warm Market(Speical),Documents and Projects Only,DAT,300,0,2019-01-17,Toronto,,No,,,
95,0223F3196420,5.84736E+11,No,UTSCAR,Scan Code,Full Package,DAT,350,0,2019-05-02,Toronto,,No,,,
96,588C359184F5,4.59005E+11,No,MU,Social Media,Introductory Lectures Only,BOTH,120,0,2019-03-31,Toronto,,No,,,
97,4B7CC8AFA429,7.29292E+11,No,UTMISS,Scan Code,Project Practise Only,DAT,120,0,2019-02-02,,,No,,,
98,5B0FEEB9B413,3.19457E+11,No,YU,Social Media,Documents and Projects Only,FIN,300,0,2019-03-24,North York,,No,,,
99,6AAA36A40090,23082759370,Yes,UTDT,Scan Code,Documents and Projects Only,BOTH,300,0,2019-01-27,Toronto,,No,,,
100,A15864BFA3F0,2.89384E+11,No,UTSCAR,Scan Code,Documents and Projects Only,BOTH,300,0,2019-02-07,Toronto,,No,,,
101,BA7903413FB6,8.51406E+11,No,UTMISS,Marketing Sessions,Full Package,BOTH,350,0,2019-04-02,Mississauga,Full Package,Yes,1,350,1
102,A80EEC6E2A6E,5.53742E+11,No,UTDT,Social Media,Project Practise Only,FIN,120,0,2019-01-20,Toronto,Project Practise Only,Yes,1,120,1
103,9A8B24E211BA,8.49191E+11,Yes,UTSCAR,Scan Code,Full Package,DAT,350,0,2019-02-21,Toronto,,No,,,
104,B19A66C947A9,1.62126E+11,Yes,UW,Scan Code,Documents and Projects Only,FIN,300,0,2019-02-18,Waterloo,,No,,,
105,C988C77A152A,9.30181E+11,No,UW,Friends Referral,Introductory Lectures Only,DAT,120,0,2019-02-01,Waterloo,,No,,,
106,7DB8AEFEDA93,9.34664E+11,No,UW,Scan Code,Project Practise Only,BOTH,120,0,2019-02-17,Waterloo,,No,,,
107,8F5A857B09E0,3.97427E+11,Yes,UTDT,Social Media,Full Package,FIN,350,0,2019-03-27,Toronto,,No,,,
108,F4A8816E2DC6,2.88801E+11,No,UTMISS,Scan Code,Introductory Lectures Only,DAT,120,1,2019-03-18,North York,,No,,,
109,B1F588C94CC9,8.00375E+11,No,UW,Social Media,Project Practise Only,BOTH,120,0,2019-04-02,Waterloo,Project Practise Only,Yes,1,120,1
110,EF648A8D7A7C,6.55478E+11,No,UTSCAR,Social Media,Project Practise Only,BOTH,120,1,2019-08-03,Toronto,,No,,,
111,98821EF70B15,7.52758E+11,No,UTDT,Scan Code,Introductory Lectures Only,FIN,120,0,2019-03-09,Toronto,,No,,,
112,5751DE60D57C,6.93894E+11,Yes,UTDT,Warm Market(Speical),Full Package,FIN,350,0,2019-02-01,Toronto,Project Practise Only,Yes,1,120,1
113,0098BD13360D,2.55233E+11,Yes,UTDT,Scan Code,Introductory Lectures Only,FIN,120,0,2019-03-01,,,No,,,
114,59B9A76530DF,1.99674E+11,No,UW,Scan Code,Full Package,FIN,350,0,2019-03-18,Waterloo,,No,,,
115,7157B62D76BF,8.70683E+11,No,UW,Scan Code,Project Practise Only,FIN,120,0,2019-02-28,Toronto,,No,,,
116,A50640322A5A,5.2356E+11,No,YU,Warm Market(Speical),Full Package,FIN,350,0,2019-03-13,North York,,No,,,
117,27ADBAB42520,1.42069E+11,No,MU,Scan Code,Introductory Lectures Only,FIN,120,0,2019-03-30,Montreal,,No,,,
118,E8DBA9715035,7.76597E+11,Yes,UTDT,Scan Code,Introductory Lectures Only,DAT,120,0,2019-06-01,Toronto,,No,,,
119,E194576EA739,1.24696E+11,Yes,UTDT,Scan Code,Introductory Lectures Only,DAT,120,0,2019-07-02,Toronto,,No,,,
120,54E1AE253D87,4.1513E+11,Yes,UTDT,Scan Code,Full Package,FIN,350,0,2019-02-12,Toronto,,No,,,
121,CD7DC42576CF,9.86851E+11,No,UTMISS,Marketing Sessions,Introductory Lectures Only,BOTH,120,0,2019-02-26,Mississauga,,No,,,
122,BDEC21407BB8,5.05211E+11,No,UW,Social Media,Project Practise Only,DAT,120,0,2019-08-02,Waterloo,,No,,,
123,A4E2A706E67E,3.31562E+11,No,UTMISS,Scan Code,Introductory Lectures Only,DAT,120,0,2019-01-12,North York,Introductory Lectures Only,Yes,1,120,1
124,F902C794F9B8,2.02465E+11,No,UTSCAR,Social Media,Full Package,FIN,350,0,2019-03-08,Toronto,,No,,,
125,E273BDC7598A,8.97681E+11,Yes,UTDT,Social Media,Documents and Projects Only,BOTH,300,0,2019-03-24,Toronto,Introductory Lectures Only,Yes,1,120,1
126,91203C0DBCAE,6.44962E+11,No,UTSCAR,Marketing Sessions,Project Practise Only,DAT,120,0,2019-03-13,Toronto,Project Practise Only,Yes,1,120,1
127,8D75E71EC85F,5.31146E+11,No,YU,Social Media,Project Practise Only,FIN,120,0,2019-02-03,North York,,No,,,
128,0EFC65EF3984,2.75171E+11,No,UTDT,Warm Market(Speical),Project Practise Only,DAT,120,0,2019-01-11,,,No,,,
129,E05140A88798,8.19376E+11,No,MU,Scan Code,Documents and Projects Only,BOTH,300,0,2019-03-03,Hamilton,,No,,,
130,71D3383B69DC,8.15419E+11,Yes,UTMISS,Social Media,Documents and Projects Only,FIN,300,0,2019-01-03,Mississauga,,No,,,
131,1237B60B5B26,2.14885E+11,No,UTMISS,Scan Code,Project Practise Only,DAT,120,0,2019-03-30,North York,,No,,,
132,B83E4FB8AE9C,4.46246E+11,No,UTMISS,Social Media,Project Practise Only,BOTH,120,0,2019-01-27,Toronto,,No,,,
133,66AE5CFB609D,98026237273,Yes,UW,Social Media,Full Package,DAT,350,0,2019-01-15,Toronto,,No,,,
134,EDDCB8318ED5,5.52157E+11,No,UW,Social Media,Full Package,BOTH,350,0,2019-01-26,Toronto,,No,,,
135,C940C107D902,6.88451E+11,No,MU,Scan Code,Project Practise Only,BOTH,120,0,2019-03-19,Toronto,,No,,,
136,C4605273AD07,2.89958E+11,No,UTDT,Warm Market(Speical),Introductory Lectures Only,FIN,120,0,2019-01-18,Toronto,Project Practise Only,Yes,1,120,1
137,440BE1DB8E7A,8.48265E+11,Yes,UTMISS,Scan Code,Introductory Lectures Only,FIN,120,0,2019-03-16,,,No,,,
138,21854C39E90C,4.34535E+11,No,MU,Social Media,Introductory Lectures Only,DAT,120,0,2019-03-19,Toronto,,No,,,
139,5352DA606184,6.88492E+11,No,UW,Web/Articles,Documents and Projects Only,DAT,300,0,2019-01-04,Waterloo,,No,,,
140,01A0CF0D6FE3,6.37338E+11,Yes,UW,Scan Code,Introductory Lectures Only,DAT,120,0,2019-02-14,Waterloo,,No,,,
141,4921870E4673,5.77556E+11,Yes,UW,Scan Code,Project Practise Only,FIN,120,0,2019-02-23,Waterloo,,No,,,
142,CA5FB694A6CF,6.30376E+11,No,UW,Social Media,Documents and Projects Only,FIN,300,1,2019-03-24,Toronto,,No,,,
143,0583DB478FA5,8.80278E+11,No,UW,Social Media,Full Package,DAT,350,0,2019-02-01,Waterloo,,No,,,
144,731DA19410F2,7.86477E+11,Yes,MU,Scan Code,Introductory Lectures Only,FIN,120,0,2019-01-13,Toronto,,No,,,
145,B5A468CC2BE8,8.87982E+11,No,MU,Marketing Sessions,Documents and Projects Only,DAT,300,0,2019-01-22,Hamilton,,No,,,
146,504EFF8A8A2D,8.36803E+11,No,UW,Scan Code,Project Practise Only,BOTH,120,0,2019-03-31,Toronto,,No,,,
147,8A1166C7B369,3.5106E+11,Yes,UTMISS,Scan Code,Documents and Projects Only,FIN,300,0,2019-01-17,Toronto,,No,,,
148,4010A8766A9B,7.90911E+11,No,UW,Scan Code,Documents and Projects Only,FIN,300,0,2019-03-15,Waterloo,,No,,,
149,89F313636F40,9.07239E+11,No,UTMISS,Social Media,Project Practise Only,BOTH,120,0,2019-02-22,North York,Project Practise Only,Yes,1,120,1
150,4C64C4A89B2E,7.67778E+11,No,UTSCAR,Social Media,Introductory Lectures Only,FIN,120,0,2019-03-12,Scarborough,,No,,,
151,DDE33DEC9CA6,5.37968E+11,Yes,UTSCAR,Social Media,Documents and Projects Only,FIN,300,0,2019-02-25,Scarborough,,No,,,
152,847ADDA85F34,5.07641E+11,No,UW,Social Media,Introductory Lectures Only,FIN,120,0,2019-02-19,Toronto,Introductory Lectures Only,Yes,1,120,1
153,631824254D0B,9.72909E+11,No,UTMISS,Social Media,Introductory Lectures Only,BOTH,120,0,2019-03-27,Mississauga,,No,,,
154,018A2FF49205,3.30869E+11,No,UW,Marketing Sessions,Introductory Lectures Only,FIN,120,0,2019-02-22,Toronto,,No,,,
155,3FF44B22C60B,1.8031E+11,Yes,YU,Scan Code,Introductory Lectures Only,FIN,120,0,2019-01-21,North York,,No,,,
156,D3F768D583F9,6.31607E+11,Yes,UTDT,Scan Code,Documents and Projects Only,BOTH,300,1,2019-05-02,Toronto,,No,,,
157,5B42649C3F63,4.389E+11,Yes,UTDT,Scan Code,Project Practise Only,FIN,120,0,2019-03-18,Toronto,Introductory Lectures Only,Yes,1,120,1
158,A0FDD8D5F157,6.77916E+11,No,UTSCAR,Web/Articles,Project Practise Only,BOTH,120,1,2019-01-12,Scarborough,,No,,,
159,40B23CF26C04,5.86781E+11,No,UTDT,Web/Articles,Introductory Lectures Only,DAT,120,1,2019-01-28,Toronto,,No,,,
160,EF5E630DFAED,8.17767E+11,Yes,UW,Web/Articles,Project Practise Only,FIN,120,0,2019-01-17,Waterloo,Project Practise Only,Yes,1,120,1
161,E48D49B6F3EB,3.59553E+11,No,UTDT,Web/Articles,Full Package,DAT,350,0,2019-01-13,Toronto,,No,,,
162,D70AD244EC24,9.46223E+11,No,UW,Scan Code,Documents and Projects Only,FIN,300,1,2019-04-01,Toronto,,No,,,
163,4AE47CE7AB36,2.89681E+11,Yes,YU,Scan Code,Project Practise Only,FIN,120,0,2019-03-29,North York,,No,,,
164,E67A6CCBFE9E,89188349860,No,UW,Scan Code,Project Practise Only,FIN,120,0,2019-02-15,Waterloo,,No,,,
165,C7A94EC24EB8,1.86626E+11,No,MU,Scan Code,Full Package,FIN,350,0,2019-03-03,Toronto,,No,,,
166,BFCDA9190F44,7.81143E+11,Yes,UTDT,Scan Code,Introductory Lectures Only,BOTH,120,0,2019-01-24,Toronto,,No,,,
167,D99914499EB5,1.01137E+11,No,UTDT,Scan Code,Project Practise Only,FIN,120,0,2019-01-23,,,No,,,
168,3A31274940DA,5.35709E+11,No,MU,Social Media,Documents and Projects Only,FIN,300,1,2019-03-14,Toronto,,No,,,
169,9F58F8636EAD,6.20065E+11,No,UTDT,Scan Code,Project Practise Only,BOTH,120,0,2019-03-09,Toronto,,No,,,
170,7F9B2E73B861,2.74328E+11,No,YU,Scan Code,Project Practise Only,FIN,120,0,2019-03-18,North York,,No,,,
171,CC9CB7B68302,3.77336E+11,No,UW,Web/Articles,Project Practise Only,FIN,120,0,2019-01-21,Waterloo,,No,,,
172,28E9B1DFAA03,6.08036E+11,No,UTDT,Scan Code,Full Package,BOTH,350,0,2019-06-01,Toronto,,No,,,
173,C76BCED91CE7,1.24096E+11,Yes,UW,Scan Code,Project Practise Only,DAT,120,0,2019-02-12,Toronto,,No,,,
174,23F5734B52F3,23424105582,No,MU,Scan Code,Documents and Projects Only,DAT,300,0,2019-01-25,Montreal,,No,,,
175,E44C63C750BC,9.30139E+11,Yes,UTMISS,Scan Code,Project Practise Only,FIN,120,1,2019-02-21,Mississauga,,No,,,
176,AAB35C86327B,4.09664E+11,Yes,UTDT,Marketing Sessions,Full Package,FIN,350,0,2019-02-02,Toronto,,No,,,
177,57E848B44920,7.54561E+11,No,UTMISS,Scan Code,Project Practise Only,FIN,120,0,2019-03-19,Toronto,,No,,,
178,88E260C36904,9.55167E+11,No,UTSCAR,Scan Code,Project Practise Only,FIN,120,0,2019-02-09,Scarborough,,No,,,
179,5F2C94208695,4.28111E+11,Yes,UTDT,Scan Code,Documents and Projects Only,BOTH,300,0,2019-01-29,Toronto,,No,,,
180,A45430C6D8C2,8.29136E+11,Yes,UTDT,Scan Code,Project Practise Only,BOTH,120,0,2019-03-17,Toronto,,No,,,
181,0411E6572071,7.12019E+11,No,UTDT,Social Media,Full Package,BOTH,350,0,2019-04-01,Toronto,,No,,,
182,8DF77D015AFB,1.40171E+11,No,UTMISS,Warm Market(Speical),Project Practise Only,FIN,120,0,2019-01-11,Mississauga,,No,,,
183,33B106EF5FEF,2.8548E+11,No,MU,Social Media,Introductory Lectures Only,DAT,120,0,2019-03-08,Montreal,,No,,,
184,C0F313C2E27C,7.03281E+11,No,UW,Social Media,Introductory Lectures Only,FIN,120,0,2019-03-16,Waterloo,,No,,,
185,00C353D8C257,1.1303E+11,No,UTDT,Social Media,Full Package,FIN,350,0,2019-01-10,Toronto,,No,,,
186,197FED062FC9,6.69247E+11,Yes,UTDT,Web/Articles,Documents and Projects Only,FIN,300,0,2019-05-02,,,No,,,
187,6B70C74C2E96,5.70807E+11,Yes,YU,Scan Code,Project Practise Only,BOTH,120,1,2019-02-03,North York,,No,,,
188,4C826481A0B6,1.81815E+11,No,YU,Warm Market(Speical),Documents and Projects Only,BOTH,300,0,2019-03-19,North York,Documents and Projects Only,Yes,1,300,1
189,21793F44784E,6.96036E+11,Yes,UW,Web/Articles,Introductory Lectures Only,DAT,120,0,2019-01-15,Toronto,,No,,,
190,38C66623B3D7,9.85805E+11,No,UTDT,Friends Referral,Documents and Projects Only,DAT,300,0,2019-03-20,Toronto,,No,,,
191,3E97D629181F,4.98299E+11,Yes,MU,Social Media,Full Package,DAT,350,0,2019-03-12,Toronto,,No,,,
192,2B5426239CC6,17969979052,No,UTDT,Social Media,Full Package,FIN,350,0,2019-01-28,Toronto,,No,,,
193,D99AEC6AD06F,1.81519E+11,No,UW,Scan Code,Project Practise Only,BOTH,120,1,2019-05-01,Toronto,,No,,,
194,51BAD15CE012,6.15047E+11,Yes,UTDT,Scan Code,Project Practise Only,BOTH,120,0,2019-02-02,Toronto,,No,,,
195,72805B673B46,9.44324E+11,No,MU,Scan Code,Introductory Lectures Only,DAT,120,1,2019-02-23,Toronto,,No,,,
196,52C4D5798310,2.85024E+11,No,UTSCAR,Social Media,Introductory Lectures Only,FIN,120,0,2019-01-04,Scarborough,Introductory Lectures Only,Yes,1,120,1
197,57FC0D585225,4.6644E+11,No,UTSCAR,Scan Code,Introductory Lectures Only,FIN,120,0,2019-03-14,Scarborough,,No,,,
198,01E43FFA6482,2.03446E+11,No,UTMISS,Social Media,Project Practise Only,FIN,120,0,2019-02-16,,,No,,,
199,979CB0B052D5,4.53479E+11,Yes,UTSCAR,Warm Market(Speical),Full Package,DAT,350,0,2019-01-27,Scarborough,,No,,,
